PCODE3,in1SD_Instability_DA16,in1SD_Deprivation_DA16,in1SD_Dependency_DA16,in1SD_Ethniccon_DA16,in1SD_Instability_q_DA16,in1SD_Deprivation_q_DA16,in1SD_Dependency_q_DA16,in1SD_Ethniccon_q_DA16
N0C,0.930232558,0.976744186,0.976744186,0.953488372,1,0.953488372,1,0.930232558
N0G,0.949238579,0.944162437,0.954314721,0.944162437,0.969543147,1,1,0.964467005
N1E,0.935483871,0.967741935,0.951612903,0.983870968,1,1,1,1
N1L,0.941176471,0.941176471,0.941176471,1,0.941176471,0.941176471,1,0.941176471
N2C,1,0.9,0.95,0.95,0.8,0.95,1,0.95
N2H,0.957446809,0.957446809,0.978723404,0.936170213,0.978723404,0.978723404,1,0.957446809
N2L,1,1,0.96,0.92,0.98,1,1,0.94
N2M,0.965517241,0.948275862,0.931034483,0.965517241,0.896551724,0.931034483,1,1
N3A,0.925925926,0.925925926,0.925925926,0.962962963,0.888888889,0.925925926,0.925925926,0.962962963
N3H,0.947368421,0.973684211,0.947368421,0.947368421,0.894736842,0.921052632,1,0.973684211
N3L,0.948717949,1,0.974358974,0.923076923,0.948717949,1,0.923076923,1
N4L,0.9,0.95,1,0.9,1,1,0.95,0.9
N5P,0.928571429,0.952380952,0.976190476,0.952380952,1,1,1,0.952380952
N8X,0.902439024,0.975609756,0.951219512,0.951219512,0.975609756,0.902439024,0.926829268,0.926829268
N9A,0.946666667,0.946666667,0.933333333,0.933333333,0.946666667,0.96,1,0.906666667
N9J,0.970588235,0.941176471,0.970588235,0.970588235,0.941176471,0.970588235,1,1
P0A,0.904761905,0.952380952,0.976190476,0.928571429,0.976190476,0.976190476,0.928571429,0.904761905
P0B,0.921052632,0.973684211,0.921052632,0.973684211,1,1,0.947368421,0.973684211
P0E,0.928571429,0.928571429,0.928571429,1,0.928571429,0.928571429,1,0.928571429
P0P,0.931034483,0.965517241,1,0.965517241,0.965517241,0.965517241,0.931034483,0.896551724
P1A,0.909090909,0.939393939,0.939393939,0.939393939,0.939393939,0.909090909,1,0.96969697
