PCODE3,in1SD_Instability_DA16,in1SD_Deprivation_DA16,in1SD_Dependency_DA16,in1SD_Ethniccon_DA16,in1SD_Instability_q_DA16,in1SD_Deprivation_q_DA16,in1SD_Dependency_q_DA16,in1SD_Ethniccon_q_DA16
L5L,0.828571429,0.785714286,0.857142857,0.7,0.457142857,0.828571429,0.628571429,0.471428571
L5M,0.850877193,0.815789474,0.719298246,0.684210526,0.833333333,0.649122807,0.842105263,0.850877193
L5N,0.837606838,0.769230769,0.726495726,0.632478632,0.803418803,0.675213675,0.837606838,0.905982906
L5R,0.837209302,0.88372093,0.720930233,0.651162791,0.837209302,0.465116279,0.488372093,1
L5S,1,1,1,1,1,1,1,1
L5T,0.6,0.6,0.8,0.6,0.6,0.8,0.6,1
L5V,0.887323944,0.802816901,0.732394366,0.647887324,0.887323944,0.676056338,0.76056338,0.971830986
L5W,0.703703704,0.703703704,0.592592593,0.666666667,0.962962963,0.814814815,0.740740741,0.925925926
L6A,0.882352941,0.647058824,0.784313725,0.68627451,0.901960784,0.666666667,0.823529412,0.431372549
L6B,0.625,0.625,0.75,0.875,0.75,0.625,0.875,0.875
L6C,0.895833333,0.958333333,0.6875,0.75,0.875,0.604166667,0.729166667,0.958333333
L6E,0.842105263,0.684210526,0.894736842,0.842105263,0.842105263,0.526315789,0.894736842,0.947368421
L6G,1,1,1,1,1,1,1,1
L6H,0.818181818,0.838383838,0.686868687,0.676767677,0.828282828,0.767676768,0.858585859,0.535353535
L6J,0.901960784,0.843137255,0.823529412,0.784313725,0.901960784,0.882352941,0.509803922,0.529411765
L6K,0.583333333,0.791666667,0.708333333,0.708333333,0.875,0.625,0.541666667,0.583333333
L6L,0.826086957,0.717391304,0.891304348,0.826086957,0.434782609,0.804347826,0.782608696,0.826086957
L6M,0.774647887,0.887323944,0.816901408,0.690140845,0.845070423,0.873239437,0.873239437,0.957746479
L6P,0.95,0.55,0.85,0.775,0.9,0.75,0.9,0.925
L6R,0.696202532,0.658227848,0.759493671,0.772151899,0.974683544,0.556962025,0.873417722,1
L6S,0.802469136,0.765432099,0.703703704,0.777777778,0.604938272,0.666666667,0.580246914,0.925925926
L6T,0.791666667,0.854166667,0.75,0.645833333,0.708333333,0.833333333,0.4375,0.708333333
