TotalPop2016,Instability_DA16,Deprivation_DA16,Dependency_DA16,Ethniccon_DA16,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16,PCODE3
31257,0.39964418096679144,0.6737840387026586,0.250396860454842,-0.3090112904989922,3.731420161883738,3.9444924336948524,3.322295805739514,2.593339092043382,L8K
33363,0.7164337578165033,2.2576096750448102,-0.330968121512484,0.19088737735203667,4.322033390282648,4.917723226328568,2.48269040553907,3.5199772202739563,L8L
19357,1.2536837031769388,1.6218852568426931,-0.33913817284889186,0.14203728184155606,4.623185410962442,4.765562845482254,2.110244356046908,3.283101720307899,L8M
28242,0.9069892803330498,0.16636942688329434,-0.4524894163171871,0.23008215563731327,3.446604348133985,2.964485518022803,2.2530982225054883,3.317257984562,L8N
23302,2.096085218938331,0.18109309606604584,0.016006114327482626,0.02110132863376534,4.63771350098704,3.146081881383572,2.9103081280576775,3.262638400137327,L8P
11699,1.7271238820289767,1.4958590148869986,-0.07681192500179504,0.7143947872835285,4.786904863663561,4.530729122147192,2.952474570476109,3.935379092230105,L8R
15307,1.2847822634343111,0.12844176620154182,-0.0566892858037499,0.5081237589453846,4.391062912393023,3.3461161560070556,3.0557261383680667,3.7703664989873915,L8S
21416,0.10352177393714981,0.3336077791805192,0.3728638807227774,-0.32586197019051194,3.233563690698543,3.648813970862906,3.60828352633545,2.622011580127008,L8T
20517,0.5952766938645513,0.6286093487845201,0.5798311764265731,-0.24556831945537855,3.8755666033045766,4.186869425354584,3.6011600136472195,2.768582151386655,L8V
26491,-0.5202805925342568,0.2439847727073723,-0.47104054639753135,0.4272275975642293,2.2553697482163755,3.504246725302933,2.1862141859499453,3.992563512136197,L8W
27911,0.11520212740037976,0.429455594836086,0.13767303425839272,0.11105730735469885,3.464942137508509,3.85593493604672,3.475188993586758,3.428612375049264,L9A
28344,-0.5360486942098504,-0.2205879427902555,0.48170370065908114,0.2317006648036974,2.3001340671747106,2.5202511995484054,2.344764324019193,3.5834038950042335,L9B
41549,-0.10641891635962362,0.2747527318949192,0.18396674092112927,0.12294120224005393,2.924715396279092,3.470889792774796,3.4127897181640954,3.5693518496233363,L9C
21567,-0.3151650100625956,-0.90502204678124,-1.0879867460060744,1.0875253005807486,2.7604210135855705,1.2951731812491307,1.4465618769416237,4.1953447396485375,L9E
38811,-0.5713206301753111,-0.8452755766800132,-0.1314630087363634,-0.033654292003143495,1.9286027157249233,1.537167297930999,2.791218984308572,3.176161397541934,L9G
41990,-0.21612908978190043,-0.6603069565273398,0.2771302745604668,-0.5369691117666352,2.6134793998571086,1.8670635865682306,3.329840438199571,2.246558704453441,L9H
10752,-0.7308418263498885,-0.371975604733724,-1.0714266658657925,0.35489456415252973,1.6552269345238095,2.462704613095238,1.5298549107142858,3.7905505952380953,L9J
14820,-0.5619852640269906,-0.7246416700863023,-0.46964045845047236,0.6415977860888663,1.9364372469635627,1.8015519568151148,2.4043859649122807,4.336774628879892,L9K
18205,-0.3894001714464158,-0.5934490170207085,0.2691270679647899,-0.678865808092667,2.4438341115078277,2.049546827794562,3.3595166163141994,1.9521560010985992,L9L
15418,-0.0429878331399014,0.15008621951842005,0.8685349582987417,-0.8229479327606695,3.3695031781035154,3.4405889220391748,4.368789726293942,1.5684913737190298,L9M
14539,-0.569828230877777,-0.5881233031286197,-0.34093519181443016,-0.22796893768876808,1.9933282894284339,2.151317146983974,2.4938441433386065,2.8543916362886033,L9N
24911,-0.45774014584115424,-0.7106290019686886,-0.11976507307318052,-0.586190427835414,2.389506643651399,1.8151419051824496,2.783549435992132,2.072979808116896,L9P
27567,-0.2991350031145935,-0.32052663702840356,0.0685120616662313,-0.44648467177708845,2.581020785722059,2.5254470925381796,2.32912540356223,2.5163057278630245,L9R
30858,-0.5208355070836087,-0.16137891354465617,-0.2202007979122432,-0.37956196654336,2.3234493486292047,3.0314667185170783,2.023138246159829,2.702799922224383,L9S
107954,-0.6928429413030084,-0.8121301400293641,-1.0129149451332047,0.929158155988291,1.9836782333215999,1.4881523611908776,1.48835615169424,4.297589714137503,L9T
10143,-0.3057454158437346,-0.2579543036133294,-0.4919613232602779,-0.19648869589825496,2.691609977324263,2.839790988859312,2.0192250813368826,2.8640441683919944,L9V
48231,-0.39303633342650984,-0.4307773904786754,-0.5141410444297444,-0.3915573891893803,2.3121229085028303,2.3157512802969045,2.190334017540586,2.654392403226141,L9W
