TotalPop2016,Instability_DA16,Deprivation_DA16,Dependency_DA16,Ethniccon_DA16,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16,PCODE3,2016_standard_derivation.SD_Instability_DA16,2016_standard_derivation.SD_Deprivation_DA16,2016_standard_derivation.SD_Dependency_DA16,2016_standard_derivation.SD_Ethniccon_DA16,2016_standard_derivation.SD_Instability_q_DA16,2016_standard_derivation.SD_Deprivation_q_DA16,2016_standard_derivation.SD_Dependency_q_DA16,2016_standard_derivation.SD_Ethniccon_q_DA16,2016_standard_derivation.PCODE3,2016_standard_derivation.count
17874,-0.555041456,-0.511525678,-0.357668571,0.666716508,2.079668793,2.376021036,2.315206445,4.564674947,L4K,0.399880526,0.480514031,0.664359285,0.443912193,1.099783528,0.975900073,1.373213125,0.487950036,L4K,15
99489,-0.811100764,-0.502264741,-0.188728415,0.275652378,1.592799204,2.316386736,2.687694117,3.902803325,L4L,0.621775671,0.579019769,0.818198042,0.516176102,1.141988124,1.149232546,1.42042952,0.838763378,L4L,89
64082,-0.006402316,-0.140674077,-0.435324968,-0.277833269,3.047673294,2.867185793,2.230283075,2.840126713,L4M,0.947013128,0.83270031,0.94239459,0.441750174,1.219397676,1.322014664,1.330227406,0.998513747,L4M,101
107502,-0.187234584,-0.114672538,-0.569447584,-0.106369737,2.738497888,2.923861882,1.941805734,3.193587096,L4N,0.906761416,0.781114603,1.219424273,0.408292094,1.275963034,1.250834339,1.276365498,0.86839443,L4N,177
31956,-0.361418291,-0.063279707,-0.569157253,-0.364129304,2.720897484,3.157372637,1.958755789,2.689823507,L4P,0.390447645,0.609012162,0.578117906,0.327939592,0.958911985,0.938343117,1.152409988,0.854685793,L4P,41
22227,0.119297845,0.360089931,0.661328712,-0.718780931,3.478607099,3.633733747,3.942772304,1.830656409,L4R,0.720869595,0.992825467,1.103091295,0.320471151,1.161871176,1.248254595,0.910137322,0.784681693,L4R,43
37631,-0.701805768,-0.532122593,-0.406666677,1.740033865,1.642741357,2.043687385,2.067391247,4.938428423,L4S,0.658495036,0.443253128,0.663743763,0.590011864,1.228772323,0.928256473,1.07247267,0.51843486,L4S,23
38470,-0.041882196,1.039227568,-0.327709585,2.306033246,3.346659735,4.660670652,2.618429945,4.991551859,L4T,0.462522553,0.554960429,0.425390775,0.701057358,0.991236055,0.556914139,0.983873135,0.127000127,L4T,62
1779,0.256793749,1.279601898,-0.630505299,2.615257168,4,5,2,5,L4V,0.206951753,0.64072878,0.15099067,0.691816334,0,0,0,0,L4V,2
23690,-0.204592725,-0.216675733,0.311696647,0.412057131,2.873701984,2.719164204,3.431532292,3.789953567,L4W,0.640214737,0.769875032,1.36074904,0.872719899,1.373213125,1.295596939,1.30536135,0.9258201,L4W,36
19735,0.40874548,0.666699789,-0.36949517,1.342010728,3.952470231,3.960324297,2.536306055,4.472865467,L4X,0.767314616,0.952489288,0.844087161,1.236501134,1.377221526,1.414213562,1.559798389,1.232853412,L4X,24
28227,0.12695595,0.195287506,0.110489849,0.560806779,3.261841499,3.458886881,3.160520069,3.835334963,L4Y,0.83514729,0.787083044,1.002423885,0.949711602,1.370419199,1.438579923,1.343911292,1.051131794,L4Y,41
