"PCODE3","instability_DA06","deprivation_DA06","dependency_DA06","ethniccon_DA06","DAPop_2006","instability_q_DA06","deprivation_q_DA06","dependency_q_DA06","Ethniccon_q_DA06"
"M5C","1.950465939708876390596745027125","-1.923953767471214343580470162749","-0.469921692052230327667269439421","0.006818808856106923761301989150","2765","4","1","1","2"
"M5E","2.331712889696185173700832615561","-0.895077853461494745047372954350","-0.368030076315100500717772035601","0.719060920777053349985644559288","3483","5","2","1","2"
"M5G","2.301733843987325745469522240527","-0.873811767708136168451400329489","-0.750806906710456764415156507414","1.463526575145278218698517298188","4856","5","2","1","3"
"M5H","2.566300808108690000000000000000","-2.127694305879180000000000000000","-1.388226242387330000000000000000","0.426931293103822000000000000000","1863","5","1","1","2"
"M5J","2.137984342691620796661086309524","-1.456849518726341745349702380952","-0.822305857996891578943452380952","0.813281816466260949590773809524","10752","5","1","1","2"
"M5M","-0.107445174878209070566727605119","-0.915009740057953900961767745012","-0.196430192589108408409506398537","-0.017709160025431637927032827279","25162","2","2","2","2"
"M5N","0.433613222379654267638700111207","-0.661330608480778324725071049055","-0.409092837187042476053379463734","0.416174967738130255108735944644","16186","3","2","1","2"
"M5P","1.031556230541153539257085974747","-0.971191430581466414522973751768","-0.217731227161517880148792371771","0.129367329811943678828522030702","19087","3","2","2","2"
"M5R","2.116719933199131836376095149528","-0.749485048404325803533845626744","-0.492935739501763563007194948852","0.238998793331183002633253389457","20431","5","2","1","2"
"M5S","1.991757559801262463468571914604","-0.681487886417128433443905758272","-0.529448418442214471804031640725","0.651118665111611823492387513822","11757","4","2","1","2"
"M5T","1.600895123548666298607391537225","1.069721368170130737540171397965","-0.075348076507109434162828066417","2.534395920248377425816818425281","14936","4","4","2","4"
"M5V","2.018197956234192499118856471510","-1.301363029260729098296455844919","-1.066809792721160902584687683572","0.242919065301896461494027804974","10214","4","2","1","2"
"M6A","0.629347994324797902209027323504","0.815989498272820211261510592261","0.341609753900218764263070497660","1.596532442882368781613244100035","19873","3","4","2","3"
"M6B","0.571357258254346263285062921758","0.119395760675691281659675360204","0.417454967858753755765821630494","1.298111396518946401285792449389","27415","3","3","2","3"
"M6C","0.706772061140519064880186555162","0.021214619889822030307172724349","-0.348084553728006039072048890318","0.755700417869102380178513991637","24872","3","3","1","2"
"M6E","0.190886177397806704640646675915","0.850143815205966588544445630136","0.060173632659913773947711023370","0.887659376409634529970120584783","37484","2","4","2","2"
"M6G","0.776971016681667827954261087168","0.098017733689552847865980814681","-0.059779569168291160409425830669","0.285322344400939838485332962603","28772","3","3","2","2"
"M6H","0.687160153684800174265905194384","0.577182386967412441714934433066","-0.340773485793466947328668736388","0.974489730416924625510866039572","43162","3","4","1","2"
"M6J","1.044271968003011662948691948895","0.276603907903549655127425133509","-0.328918674282833694885080781451","0.528035819207974888352599202325","29586","3","3","1","2"
"M6K","1.726773761330448534172906739278","1.180436113925199683269537100068","-0.486424658718539376358066712049","2.230794596472509531552076242342","29380","4","5","1","3"
"M6L","0.290926487702022180942567870263","0.963844786192011930767852342980","0.482948525841388821689812740794","1.588705761700446981220320759789","22322","2","4","2","3"
"M6M","0.371194848825442320725868011381","1.114871087348229227725474775046","-0.266547478359526875045684809512","1.901101817099151615946889963221","43231","3","4","1","3"
"M6N","0.261298030623966287569969557105","1.209453290955934664440734557596","-0.148789831859649750412452126093","1.250917205123181254330747323971","40732","2","5","2","3"
"M6P","1.160156938000724441565374115402","-0.199244286497773680606430067057","-0.523159027667197989710832516102","0.718782483276486091121948633677","37729","3","3","1","2"
"M6R","0.963824855631734349053619444298","-0.463923799205953722138450993831","-0.483322243394409784784098697738","0.008939832889633993773395898139","18967","3","3","1","2"
"M6S","0.271853840393012656063515509601","-0.391949822171807129248892171344","-0.189626495796767927650516986706","-0.036430816997274821680206794682","27080","2","3","2","2"
"M8V","1.174462144554454968816564695219","-0.172557655307827261053988216633","-0.318675379957512136398141853614","0.571478489482589529151087695445","35304","3","3","1","2"
"M8W","0.479873255271322771260195181745","-0.197661990230551600188581396445","-0.010003514454711832547734665975","0.164464149880608789795860638348","21211","3","3","2","2"
"M8X","-0.003068520461040148790968068077","-1.076535155886331754065211896537","0.270799629000616650619260257814","-0.102528385991243771143314516808","11869","2","2","2","1"
"M8Y","0.540946450128979133964411958541","-0.209397058817002791594272362351","-0.166786319135619118045413696004","0.441612197557951486309987418369","16691","3","3","2","2"
"M8Z","-0.211484764254898161135947978053","-0.275936576038346143060353586669","0.804938881839334662263767526925","-0.177386808707600341800447063605","9842","2","3","2","1"
"M9A","0.449983217945698038110135674381","-0.444451838274620950129928172386","0.057797050202975574362330407023","0.959531449002952389340782122905","31325","3","3","2","2"
"M9B","-0.099478616148989351866287439868","-0.203699868918177806783946065522","0.221831445151712466954598124934","0.574767075556194307595070051617","28479","2","3","2","2"
"M9C","0.128799626222835861695107004808","-0.352395254683336782005593790264","0.507486250225170054350900348826","0.609668255948706581842179692656","31821","2","3","2","2"
"M9L","-0.591102467190358140294411177645","0.789631418736427878359946773120","0.577750127951229689205755156354","2.105976116355058686501996007984","12024","1","4","2","3"
"M9M","-0.098900003980418586407975131311","0.850269721784273479451173759245","0.150673932126541776321149104942","2.333588527948310486552685175260","18658","2","4","2","4"
"M9N","0.697780129172272904937977099237","0.877636198378399583744370229008","-0.180755475306731471834446564885","1.533003226429474674890267175573","20960","3","4","2","3"
"M9P","0.281259918707213684715201417479","0.136520464100192219703997081661","0.856855083886169260357496482360","0.712650803429611979509093751629","19189","2","3","3","2"
